1,0
2,1.31891
3,0.352256
4,3.65363
5,1.08544
6,2.54362
7,1.81043
8,1.79814
9,1.32301
10,2.28966
11,1.81043
12,1.80634
13,1.44179
14,1.98656
15,1.97837
16,1.80634
17,1.79405
18,1.2288
19,2.40026
20,1.81043
21,1.81043
22,1.6425
23,1.6343
24,2.12582
25,1.80634
26,1.81043
27,1.60973
28,1.86368
29,1.93741
30,1.81043
31,1.81043
32,1.48685
33,1.90054
34,2.02752
35,1.80634
36,1.4295
37,2.17498
38,1.81043
39,1.80634
40,1.79405
41,0.954368
42,2.67059
43,1.81043
44,1.81043
45,1.75718
46,1.59334
47,2.048
48,1.81043
49,1.80634
50,1.24109
51,1.97837
52,2.20365
53,1.81043
54,1.81043
55,1.44179
56,2.16269
57,1.81043
58,1.80634
59,1.52371
