1,0
2,1.42541
3,0.55296
4,3.29318
5,1.26976
6,1.5319
7,2.64192
8,1.81043
9,1.76538
10,1.48685
11,2.15859
12,1.80634
13,1.81043
14,1.66298
15,1.58515
16,2.17498
17,1.69165
18,1.72032
19,1.87187
20,1.9497
21,1.81043
22,1.62611
23,1.41312
24,2.37978
25,1.80634
26,1.81043
27,1.65888
28,1.72851
29,2.03162
30,1.73261
31,1.17965
32,2.51494
33,1.81043
34,1.76947
35,1.23699
36,2.40845
37,1.81043
38,1.80634
39,1.76538
40,1.42541
41,2.23232
42,1.80634
43,1.81043
44,1.68346
45,1.55238
46,1.89235
47,2.09306
48,1.80634
49,1.71213
50,1.48275
51,1.72032
52,2.30605
53,1.81043
54,1.76538
55,1.36397
56,1.89645
57,2.21184
58,1.80634
59,1.7367
