1,0
2,1.13459
3,0.929792
4,3.28499
5,0.929792
6,2.67878
7,1.81043
8,1.81043
9,1.56467
10,2.03571
11,1.81043
12,1.80634
13,1.81043
14,1.31072
15,2.29786
16,1.80634
17,1.81043
18,1.24518
19,2.23642
20,1.93741
21,1.81043
22,1.78176
23,1.58925
24,2.03981
25,1.80634
26,1.81043
27,1.41722
28,1.95379
29,2.0521
30,1.27795
31,2.33882
32,1.80634
33,1.81043
34,1.35168
35,2.07258
36,1.98246
37,1.81043
38,1.75309
39,1.60154
40,2.06438
41,1.81043
42,1.76538
43,1.6343
44,2.01523
45,1.80634
46,1.81043
47,1.36806
48,2.24051
49,1.80634
50,1.81043
51,1.81043
52,1.32301
53,2.27328
54,1.81043
55,1.80634
56,1.36397
57,2.08077
58,1.97427
59,1.81043
