1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.02829,1
1.02829,0
1.02875,1
1.02875,0
1.02922,1
1.02922,0
1.02968,1
1.02968,0
1.03014,1
1.03014,0
1.03061,1
1.03061,0
1.03107,1
1.03107,0
1.03154,1
1.03154,0
1.032,1
1.032,0
1.03246,1
1.03246,0
1.03282,1
1.03282,0
1.03293,1
1.03293,0
1.03328,1
1.03328,0
1.03339,1
1.03339,0
1.03374,1
1.03374,0
1.03386,1
1.03386,0
1.03421,1
1.03421,0
1.03432,1
1.03432,0
1.03467,1
1.03467,0
1.03478,1
1.03478,0
1.03514,1
1.03514,0
1.03525,1
1.03525,0
1.0356,1
1.0356,0
1.03571,1
1.03571,0
1.03606,1
1.03606,0
1.03618,1
1.03618,0
1.03653,1
1.03653,0
1.03664,1
1.03664,0
1.03699,1
1.03699,0
1.0371,1
1.0371,0
1.03734,1
1.03734,0
1.03746,1
1.03746,0
1.03781,1
1.03781,0
1.03792,1
1.03792,0
1.03827,1
1.03827,0
1.03838,1
1.03838,0
1.03874,1
1.03874,0
1.03885,1
1.03885,0
1.0392,1
1.0392,0
1.03931,1
1.03931,0
1.03966,1
1.03966,0
1.03978,1
1.03978,0
1.04013,1
1.04013,0
1.04024,1
1.04024,0
1.04059,1
1.04059,0
1.0407,1
1.0407,0
1.04106,1
1.04106,0
1.04117,1
1.04117,0
1.04152,1
1.04152,0
1.04163,1
1.04163,0
1.04187,1
1.04187,0
1.04198,1
1.04198,0
1.04234,1
1.04234,0
1.04245,1
1.04245,0
1.0428,1
1.0428,0
1.04291,1
1.04291,0
1.04326,1
1.04326,0
1.04338,1
1.04338,0
1.04373,1
1.04373,0
1.04384,1
1.04384,0
1.04419,1
1.04419,0
1.0443,1
1.0443,0
1.04466,1
1.04466,0
1.04477,1
1.04477,0
1.04512,1
1.04512,0
1.04523,1
1.04523,0
1.04558,1
1.04558,0
1.0457,1
1.0457,0
1.04605,1
1.04605,0
1.04616,1
1.04616,0
1.0464,1
1.0464,0
1.04651,1
1.04651,0
1.04686,1
1.04686,0
